id,complication_in_preparing,time_consuming,no_restuarants_for_grab_n_go,easy_access,have_to_prepare_both_vegatrain_and_non_vegetarian,hard_time_grocery_shopping,difficult_during_time_of_transition
1463.0,1,1,1,1,5,1,1
1466.0,1,5,5,1,1,1,3
1467.0,1,1,1,5,3,5,1
1478.0,1,3,1,1,5,1,5
1480.0,1,1,5,3,3,1,1
1482.0,3,5,5,1,5,1,3
1506.0,1,1,1,1,5,1,3
1511.0,1,1,1,1,5,1,5
1513.0,3,5,5,3,3,1,1
1524.0,5,5,5,5,1,1,1
1526.0,1,1,1,1,1,1,1
1528.0,1,1,3,1,1,1,1
1533.0,5,5,5,1,5,3,3
1535.0,1,3,3,1,1,1,5
1536.0,3,1,5,1,5,1,5
1546.0,5,5,5,5,1,3,5
1547.0,3,3,5,1,1,3,3
1549.0,1,1,1,1,5,1,1
1571.0,3,5,5,1,3,1,5
1573.0,3,5,5,5,5,1,5
1575.0,1,1,3,1,1,1,1
1583.0,1,1,1,1,1,1,5
1601.0,1,1,5,1,1,5,5
1620.0,1,5,1,1,1,1,1
1630.0,1,1,1,1,1,1,1
1661.0,1,1,1,1,5,1,1
1665.0,1,3,3,3,3,1,3
1668.0,1,1,3,1,1,1,5
1685.0,1,3,1,3,1,1,1
1688.0,1,1,1,1,3,1,3
1705.0,1,1,1,1,1,1,1
1708.0,1,1,1,1,5,1,1
1711.0,3,5,5,3,3,1,5
1722.0,1,3,5,1,3,1,1
1728.0,1,1,1,1,1,1,1
1743.0,1,1,5,1,5,1,1
1748.0,1,3,5,1,5,1,3
1749.0,1,1,1,5,1,1,1
1755.0,5,5,5,1,5,3,5
1761.0,5,5,5,1,1,1,5
1768.0,1,5,5,5,1,1,1
1770.0,3,5,5,1,1,1,3
1775.0,1,1,1,1,1,1,1
1801.0,1,5,3,1,1,1,3
1808.0,1,5,5,5,1,3,1
1817.0,1,5,5,1,1,1,5
1823.0,1,3,5,1,1,1,1
1831.0,1,1,1,1,1,1,1
1855.0,3,3,3,1,1,1,1
1857.0,5,5,5,5,1,1,1
1879.0,1,1,1,3,5,3,1
1888.0,1,1,1,1,5,1,1
1890.0,1,5,1,1,5,1,3
1894.0,1,1,5,1,5,5,1
1914.0,3,1,5,1,1,1,3
1915.0,5,5,1,5,1,1,1
1926.0,5,5,5,5,3,3,5
1927.0,3,5,5,1,1,1,3
1929.0,5,5,3,1,1,1,3
1941.0,5,5,5,5,1,3,3
1959.0,3,3,3,3,3,3,3
1968.0,1,5,5,5,1,1,1
1971.0,3,3,3,3,3,3,3
1992.0,1,1,5,3,1,1,1
2024.0,1,1,1,1,5,1,1
2027.0,1,1,1,1,1,1,1
2063.0,3,3,5,3,1,5,3
2064.0,5,5,3,3,1,3,3
2066.0,5,5,5,1,5,5,5
2072.0,1,1,5,1,1,1,1
2079.0,1,1,1,5,1,3,1
2086.0,1,1,1,3,1,1,1
2091.0,3,3,5,5,5,1,1
2100.0,5,3,3,5,1,3,1
2105.0,3,3,1,1,1,1,3
2106.0,1,1,3,3,1,1,1
2108.0,1,1,1,5,1,1,1
2121.0,1,1,5,1,1,1,1
2130.0,3,1,1,1,1,1,3
2168.0,5,5,5,1,1,1,5
2177.0,1,1,1,3,1,1,1
2183.0,3,3,5,3,5,5,5
2189.0,1,1,1,1,5,1,1
2198.0,1,1,3,1,1,1,1
2222.0,1,3,5,1,1,1,3
2223.0,5,5,5,1,5,1,5
2224.0,3,3,5,1,1,1,5
2229.0,3,3,5,1,1,1,1
2246.0,1,1,1,5,1,1,1
2256.0,5,5,5,1,1,1,5
2260.0,1,1,1,1,1,1,5
2265.0,1,1,1,1,1,1,1
2266.0,1,1,5,1,5,1,1
2281.0,1,1,1,1,1,1,1
2289.0,3,5,5,1,5,1,1
2302.0,3,3,3,1,5,3,3
2314.0,1,1,1,5,1,1,1
2332.0,1,5,3,1,5,1,3
2344.0,1,1,1,5,1,1,1
2347.0,1,1,3,5,1,1,3
2349.0,3,1,1,5,5,1,1
2360.0,1,1,5,1,1,1,1
2392.0,1,3,3,1,5,1,1
2397.0,3,3,5,3,5,3,3
2403.0,1,1,5,1,1,1,1
2406.0,1,1,3,3,1,1,1
2410.0,1,1,1,5,1,1,1
2418.0,5,1,1,5,1,1,5
2419.0,5,5,5,5,1,1,3
2421.0,3,5,5,1,5,1,5
2444.0,1,1,3,1,1,1,1
2466.0,5,3,5,1,5,1,5
2475.0,5,5,5,1,5,1,5
2476.0,1,1,1,1,1,1,1
2481.0,5,5,5,5,3,3,5
2485.0,1,1,1,3,1,1,1
2496.0,1,1,1,1,1,1,3
2497.0,5,5,3,1,5,1,1
2502.0,5,1,1,1,1,1,1
2505.0,1,3,3,1,1,1,1
2507.0,1,1,1,3,5,1,3
2513.0,1,1,3,1,1,1,3
2518.0,5,5,3,1,5,1,5
