id,ALLLENGTH,ALLTRANSITION,ALLINCONVENIENCE4D,ALLINCONVENIENCE3D
2885.0,5.0,1.0,1.0,0.0
2914.0,5.0,1.0,0.0,0.0
2916.0,4.0,2.0,0.0,1.0
2928.0,5.0,5.0,0.0,0.0
2935.0,3.0,3.0,0.0,1.0
2949.0,5.0,5.0,0.0,1.0
2961.0,1.0,6.0,0.0,0.0
2966.0,2.0,3.0,0.0,0.0
2971.0,7.0,1.0,1.0,0.0
2977.0,6.0,1.0,0.0,0.0
2980.0,2.0,2.0,0.0,0.0
3000.0,2.0,2.0,0.0,1.0
3001.0,5.0,1.0,1.0,0.0
3006.0,1.0,6.0,0.0,0.0
3013.0,2.0,2.0,0.0,1.0
3014.0,5.0,3.0,0.0,0.0
3035.0,2.0,3.0,0.0,1.0
3042.0,4.0,5.0,0.0,0.0
3051.0,3.0,1.0,1.0,0.0
3065.0,4.0,2.0,0.0,0.0
3114.0,7.0,1.0,0.0,0.0
3142.0,3.0,4.0,0.0,1.0
3143.0,5.0,2.0,0.0,0.0
3175.0,4.0,1.0,0.0,0.0
3178.0,1.0,1.0,1.0,1.0
3183.0,6.0,4.0,0.0,1.0
3214.0,2.0,5.0,0.0,1.0
3222.0,1.0,1.0,1.0,0.0
3226.0,1.0,1.0,0.0,0.0
3238.0,3.0,1.0,1.0,1.0
3247.0,1.0,6.0,0.0,0.0
3249.0,4.0,2.0,0.0,1.0
3278.0,3.0,2.0,0.0,0.0
3291.0,2.0,1.0,0.0,0.0
3293.0,1.0,6.0,0.0,0.0
3307.0,2.0,6.0,0.0,0.0
3309.0,4.0,6.0,0.0,0.0
3323.0,5.0,3.0,1.0,0.0
3326.0,1.0,1.0,0.0,1.0
3367.0,3.0,2.0,0.0,1.0
3370.0,6.0,1.0,1.0,0.0
3416.0,7.0,6.0,0.0,0.0
3443.0,2.0,3.0,0.0,1.0
3449.0,4.0,1.0,0.0,0.0
3462.0,2.0,1.0,0.0,0.0
3463.0,6.0,6.0,0.0,0.0
3465.0,2.0,6.0,0.0,0.0
3471.0,7.0,6.0,0.0,0.0
3483.0,4.0,5.0,0.0,1.0
3499.0,2.0,6.0,0.0,0.0
3504.0,6.0,1.0,0.0,0.0
3524.0,1.0,1.0,0.0,0.0
3535.0,7.0,1.0,1.0,1.0
3537.0,2.0,2.0,1.0,1.0
3539.0,2.0,1.0,0.0,1.0
3562.0,4.0,2.0,0.0,0.0
3563.0,3.0,3.0,0.0,0.0
3596.0,4.0,1.0,0.0,0.0
3603.0,1.0,6.0,0.0,0.0
3623.0,2.0,1.0,0.0,1.0
3630.0,3.0,1.0,0.0,0.0
