reason,Disagree,Agree,Neither agree nor disagree
complication_in_preparing,804,285,280
time_consuming,686,312,371
no_restuarants_for_grab_n_go,521,291,557
easy_access,828,254,287
have_to_prepare_both_vegatrain_and_non_vegetarian,801,175,393
hard_time_grocery_shopping,1082,158,129
difficult_during_time_of_transition,698,315,356
