region,value
arizona,6
california,33
florida,7
georgia,1
hawaii,1
illinois,9
kansas,1
massachusetts,4
maine,1
michigan,2
minnesota,2
north carolina,6
new hampshire,1
new jersey,1
new mexico,1
nevada,1
new york,108
oregon,2
pennsylvania,3
tennessee,1
texas,7
utah,2
virginia,3
washington,5
wisconsin,1
