,id,ALLANIMALPROTECTION,ALLENVIRONMENT,ALLCOST,ALLHEALTH,ALLRELIGIOUSSPIRITUAL,ALLSOCIALINFLUENCE,ALLSOCIALJUSTICEWORLDHUNGER,ALLFOODTREND,ALLDISGUST
73,709.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
74,711.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
75,712.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
76,718.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
77,725.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
78,744.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,5.0
79,768.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,1.0,4.0
80,776.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0
81,779.0,3.0,5.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0
82,788.0,5.0,5.0,1.0,5.0,4.0,2.0,5.0,1.0,1.0
83,789.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0
84,796.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0
85,797.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0
86,800.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0
87,809.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
88,819.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
89,822.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
90,839.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,1.0,3.0
91,842.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
92,847.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0
93,848.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
94,854.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
95,882.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,3.0
96,886.0,2.0,3.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0
97,894.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
98,900.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0
99,901.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0
100,907.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
101,927.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
102,930.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
103,962.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,1.0,5.0
104,966.0,3.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,3.0
105,975.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0
106,996.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
107,1007.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
108,1018.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0
109,1019.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0
110,1021.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,5.0
111,1029.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0
112,1031.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0
113,1047.0,1.0,1.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0
114,1066.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
115,1096.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
116,1098.0,5.0,5.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0
117,1102.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
118,1106.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
119,1110.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0
120,1113.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0
121,1129.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
122,1143.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0
123,1145.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0
124,1149.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0
125,1158.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
126,1161.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0
127,1163.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
128,1181.0,4.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,5.0
129,1182.0,5.0,4.0,1.0,3.0,1.0,4.0,5.0,4.0,5.0
130,1190.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0
131,1194.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0
132,1212.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0
133,1213.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0
134,1221.0,5.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0
135,1228.0,2.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0
136,1238.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
137,1242.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0
138,1250.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
139,1254.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0
140,1259.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0
141,1261.0,4.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0
142,1262.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0
143,1264.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0
144,1267.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
145,1269.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0
146,1273.0,5.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,5.0
147,1285.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0
148,1286.0,3.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0
149,1288.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0
150,1298.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
151,1300.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,4.0,1.0
152,1302.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0
153,1305.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0
154,1319.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0
155,1324.0,5.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0
156,1326.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0
157,1328.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0
158,1335.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0
159,1346.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0
160,1351.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
161,1352.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
162,1363.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
163,1389.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
164,1395.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0
165,1403.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
166,1435.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
167,1451.0,5.0,5.0,3.0,3.0,4.0,1.0,5.0,1.0,5.0
168,1454.0,2.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0
169,1456.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0
170,1461.0,3.0,3.0,3.0,5.0,2.0,4.0,3.0,2.0,3.0
171,1462.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0
172,1463.0,4.0,5.0,2.0,3.0,1.0,3.0,5.0,1.0,5.0
173,1466.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
174,1467.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0
175,1478.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0
176,1480.0,3.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0
177,1482.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,3.0,1.0
178,1483.0,,,,,,,,,
179,1506.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0
180,1511.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0
181,1513.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,5.0
182,1524.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
183,1526.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0
184,1528.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
